SchoolCode,GPAcoef,SATcoef,Intercept,Weight,College
B:163286,2.82715727,0.01082395,-21.990044,1,University of Maryland-College Park
B:163453,1.94860821,0.01410157,-15.739706,1,Morgan State University (HBCU)
B:164924,5.40172985,0.01547274,-39.176162,1,Boston College
B:164988,1.93023985,0.01555633,-28.379907,1,Boston University
B:167358,1.31250683,0.00571051,-12.129398,1,Northeastern University
B:168546,4.05142036,0.00527109,-15.295207,1,Albion College
B:169080,6.10398585,0.02840493,-44.544844,1,Calvin University
B:169248,6.04151713,0.01425497,-27.394672,1,Central Michigan University
B:169798,4.89646372,0.0197975,-28.759023,1,Eastern Michigan University
B:170082,6.01289936,0.01319243,-29.518011,1,Grand Valley State University
B:170301,5.41001969,0.00991201,-29.470381,1,Hope College
B:170532,8.56508672,0.00568659,-35.780884,1,Kalamazoo College
B:170976,4.41412715,0.01165648,-29.623621,1,University of Michigan-Ann Arbor
B:172699,8.50111013,0.00743635,-27.591187,1,Western Michigan University
B:173902,4.91939644,0.00595296,-24.831383,1,Macalester College
B:174066,4.3050303,0.01049793,-28.209497,1,University of Minnesota-Twin Cities
B:174844,5.08076065,0.00674795,-23.884841,1,St Olaf College
B:175342,3.74677463,0.01605083,-22.465395,1,Alcorn State University (HBCU)
B:175856,3.12276293,0.01043623,-15.652096,1,Jackson State University (HBCU)
B:176965,7.64362904,0.02604585,-43.283226,1,University of Central Missouri
B:178396,5.79196786,0.026567,-45.068207,1,University of Missouri-Columbia
B:178615,5.57182762,0.01048996,-27.05962,1,Truman State University
B:179867,4.52713443,0.0128683,-34.505625,1,Washington University in St Louis
B:190099,10.4176395,0.00752079,-47.670745,1,Colgate University
B:193900,0.68051287,0.00504957,-9.3389462,1,New York University
B:195030,5.58114961,0.05353289,-79.463009,1,University of Rochester
B:196413,3.67932449,0.01058484,-25.136894,1,Syracuse University
B:197869,2.15982378,0.0103159,-17.235385,1,Appalachian State University
B:198507,1.73648306,0.01914839,-20.67428,1,Elizabeth City State University (HBCU)
B:199120,5.29280818,0.00160377,-23.428205,1,University of North Carolina at Chapel Hill
B:199157,2.22082887,0.02587291,-28.420663,1,North Carolina Central University (HBCU)
B:199607,5.47035003,0.00602469,-20.325554,1,Salem College (Female only)
B:201441,3.147256,0.00667391,-13.22716,1,Bowling Green State University-Main Campus
B:201645,3.46959634,0.00216471,-15.203207,1,Case Western Reserve University
B:202480,8.4227765,0.0164403,-41.101875,1,University of Dayton
B:202523,4.81200373,0.0087067,-27.915649,1,Denison University
B:203517,4.08320292,0.00530467,-15.53339,1,Kent State University at Kent
B:203535,7.25892097,0.00392485,-33.094378,1,Kenyon College
B:204024,2.12097759,0.00260824,-7.9233361,1,Miami University-Oxford
B:204501,2.5250898,0.00917831,-21.727,1,Oberlin College
B:204796,6.25967256,0.00628519,-29.716059,1,Ohio State University-Main Campus
B:204857,4.51640548,0.0038093,-16.027897,1,Ohio University-Main Campus
B:206589,3.474747,0.00268691,-13.523161,1,The College of Wooster
B:212674,4.28395148,0.00029026,-16.175793,1,Gettysburg College
B:213668,4.69945283,0.0125617,-27.567748,1,Lycoming College
B:215062,1.54548901,0.01763571,-29.573529,1,University of Pennsylvania
B:216597,5.74487703,0.01726815,-41.098656,1,Villanova University
B:217156,6.63206013,0.00718595,-36.960045,1,Brown University
B:219709,1.2063902,0.01076681,-13.708116,1,Belmont University
B:220181,3.00991527,0.00130553,-7.3455823,1,Fisk University (HBCU)
B:221351,2.30370241,0.01503379,-26.875962,1,Rhodes College
B:221759,0.23041991,0.02657804,-28.179689,1,The University of Tennessee-Knoxville
B:221838,12.9702966,0.01903748,-46.740955,1,Tennessee State University (HBCU)
B:221999,4.16006917,0.01333854,-34.77156,1,Vanderbilt University
B:225511,17.6139265,0.00910413,-66.183169,1,University of Houston
B:229063,11.63928,0.02631296,-49.812184,1,Texas Southern University (HBCU)
B:229267,4.80121332,0.02141036,-43.600181,1,Trinity University
B:231174,6.01278411,0.00375492,-22.167519,1,University of Vermont
B:232265,5.59067877,0.00213467,-14.529492,1,Hampton University (HBCU)
B:232937,7.43790371,0.02263695,-36.768811,1,Norfolk State University (HBCU)
B:234076,5.88476836,0.00773578,-30.742893,1,University of Virginia-Main Campus
B:238333,5.47436573,0.00094932,-17.095474,1,Beloit College
B:238980,1.94586154,0.00064672,-5.0825778,1,Lakeland University
B:239105,3.60441531,0.00639944,-17.481902,1,Marquette University
B:239318,2.08728959,0.00282513,-9.4221222,1,Milwaukee School of Engineering
B:239628,6.12846492,0.00813372,-22.781731,1,Ripon College
B:240444,5.37758818,0.00468936,-23.565074,1,University of Wisconsin-Madison
B:240453,6.99529936,0.00889607,-25.700774,1,University of Wisconsin-Milwaukee
B:243780,2.31307622,0.01220679,-21.407544,1,Purdue University-Main Campus
B:100000001,1.99775393,0.00107252,-5.7413311,1,Arrupe College (Loyola)
H:144740,3.255046,-0.000017,-8.711165,1,DePaul University
H:120254,5.83445226,0.02059081,-48.885411,1,Occidental College
H:121345,5.98561382,0.00831781,-35.94545,1,Pomona College
H:122436,5.7509097,0.00868461,-30.46009,1,University of San Diego
H:122612,5.09237196,0.00964611,-27.457042,1,University of San Francisco
H:122931,4.75085438,0.00673114,-26.913949,1,Santa Clara University
H:123961,8.02452601,0.00330627,-36.846839,1,University of Southern California
H:126678,2.99725674,0.00430957,-17.975601,1,Colorado College
H:127060,7.04664869,0.0117222,-37.284647,1,University of Denver
H:128902,5.60260228,0.00467742,-26.943356,1,Connecticut College
H:130590,5.22618371,0.00384148,-25.332921,1,Trinity College
H:130697,6.65075885,0.01161942,-41.33607,1,Wesleyan University
H:131469,12.3198191,0.01231711,-60.464683,1,George Washington University
H:131496,3.28161636,0.0062944,-21.688972,1,Georgetown University
H:137847,3.7668271,0.01059112,-22.092579,1,The University of Tampa
H:139658,5.01594594,0.00876627,-30.268654,1,Emory University
H:143048,2.60987028,0.00131436,-9.2249278,1,School of the Art Institute of Chicago
H:143084,5.30654462,0.00462965,-20.152179,1,Augustana College
H:143118,3.03129124,0.01900373,-26.089313,1,Aurora University
H:143288,7.22223952,0.02068966,-37.681178,1,Blackburn College
H:143358,5.00528913,0.00558245,-19.454679,1,Bradley University
H:144005,1.90381233,0.00499719,-8.5399316,1,Chicago State University
H:144050,1.16204167,0.00523692,-12.760519,1,University of Chicago
H:144281,5.76273307,0.00486618,-17.188917,1,Columbia College Chicago
H:144351,3.60847951,0.01003367,-17.659261,1,Concordia University-Chicago
H:144892,5.019279,0.0075437,-19.221059,1,Eastern Illinois University
